,Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
0,1,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018
1,2,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018
2,3,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018
3,4,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018
4,5,Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
5,6,Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018
6,7,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018
7,8,New Zealand,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018
8,9,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
9,10,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018
10,11,United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
11,12,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018
12,13,Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018
13,14,Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018
14,15,Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018
15,16,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018
16,17,Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018
17,18,United States,North America,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
18,19,Israel,Middle East and Northern Africa,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018
20,21,Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
21,22,Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018
22,23,France,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018
23,24,Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018
24,25,Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018
25,26,Taiwan,Eastern Asia,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
26,27,Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018
27,28,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018
28,29,Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018
29,30,Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018
30,31,Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018
31,32,Qatar,Middle East and Northern Africa,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018
32,33,Saudi Arabia,Middle East and Northern Africa,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018
33,34,Singapore,Southeastern Asia,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018
34,35,Malaysia,Southeastern Asia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018
35,36,Spain,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018
36,37,Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
38,39,Slovakia,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018
39,40,El Salvador,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018
40,41,Nicaragua,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018
41,42,Poland,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018
42,43,Bahrain,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018
